Gene,Detection_Rate,Mean_Expression,Median_Expression
TEAD3,1,1.98836563639818,1.96347412397489
TEAD4,1,2.46278852415913,2.41142624572647
TEC,0.962025316455696,0.286432774993162,0.189033824390017
TECPR1,1,4.43797505614809,4.4235781709818
TECPR2,1,3.21859891822138,3.26303440583379
TECR,1,7.31707714403967,7.57893871309339
TECRP1,0.957805907172996,1.61257678634527,1.57531233068744
TECTA,1,0.68040105111316,0.704871964456353
TECTB,0.641350210970464,0.178542840584508,0.0426443374084937
TEF,1,3.06401081103403,3.0071955014042
TEFM,1,2.62010286967626,2.790772037862
TEK,1,1.01104051307583,0.887525270741588
TEKT1,0.966244725738397,1.0180712125841,0.545968369105292
TEKT2,0.9957805907173,2.16890592008262,2.01077983875324
TEKT3,0.957805907172996,1.28232073479166,1.22032995487956
TEKT4,0.481012658227848,0.116006341305819,0
TEKT4P2,0.9957805907173,2.3316222678575,2.37851162325373
TEKT5,0.919831223628692,0.416959102059898,0.321928094887362
TELO2,1,5.19993151622224,5.4235781709818
TEN1,1,4.29953354968119,4.41683974191283
TEN1-CDK3,1,2.00438614274676,1.99276843076892
TENC1,1,4.89404367808109,5.01122725542325
TENM1,0.987341772151899,1.13987711895815,0.895302621333307
TENM2,0.991561181434599,0.770131295875193,0.432959407276106
TENM3,0.987341772151899,0.992329795611652,0.704871964456353
TENM4,1,2.33161713947391,2.19849415363908
TEP1,1,2.90633092390928,3.0232553523003
TEPP,0.734177215189873,0.178823617556301,0.0840642647884746
TERC,0.835443037974684,1.21987403326738,0.475084882948783
TERF1,1,3.29064173313288,3.5668151540109
TERF2,1,3.74966052715867,3.82374936030827
TERF2IP,1,5.68522021277094,6.06738057801906
TERT,0.839662447257384,0.693366812651179,0.389566811762726
TES,1,1.47762876214507,1.46988597627446
TESC,1,3.38482039044165,3.46466826700344
TESK1,1,4.73728792670604,4.88898672118656
TESK2,1,1.47665821317047,1.44890095114513
TESPA1,0.974683544303798,0.850680994058675,0.389566811762726
TET1,0.9957805907173,0.358288220724003,0.238786859587117
TET2,1,1.52829794450537,1.44890095114513
TET3,1,1.62466194802302,1.56071495447448
TEX10,1,2.84899083571088,2.98732086592925
TEX12,0.649789029535865,0.109168858155463,0.0840642647884746
TEX14,0.953586497890295,0.380295345477039,0.214124805352847
TEX15,0.894514767932489,0.130944784898627,0.070389327891398
TEX19,0.607594936708861,0.0647941081392308,0.0285691521967709
TEX2,1,3.24946411729245,3.29572302453997
TEX21P,0.755274261603376,0.113754465567463,0.0840642647884746
TEX22,0.9957805907173,0.91448558321356,0.790772037862
TEX26,0.949367088607595,1.25884147727384,1.16349873228288
TEX26-AS1,0.746835443037975,0.227132159721443,0.150559676575381
TEX261,1,4.43257001791278,4.39574832817903
TEX264,1,5.57928184202711,5.92599941855622
TEX29,0.881856540084388,1.20909487435109,1.0496307677246
TEX30,0.9957805907173,2.90505775274394,3.15218341905505
TEX38,0.860759493670886,0.414621717145967,0.27500704749987
TEX40,0.89873417721519,1.6104896727256,1.32768736417605
TEX41,0.915611814345992,0.399193860676062,0.263034405833794
TEX9,0.9957805907173,1.57798554593361,1.53605290024021
TF,1,6.18244124367767,6.31759350462347
TFAM,1,2.36443501688774,2.28095631383106
TFAP2A,0.9957805907173,1.65325029044385,1.48026512205446
TFAP2A-AS1,0.919831223628692,1.32063152885539,1.18269229751619
TFAP2B,0.670886075949367,0.23291086137581,0.0426443374084937
TFAP2C,0.886075949367089,0.320036410644201,0.176322772640463
TFAP2E,0.9957805907173,1.50113044294876,1.4905701304462
TFAP4,1,2.65006605412742,2.72246602447109
TFB1M,1,2.58550335918108,2.78450398292957
TFB2M,1,2.37756920776892,2.50589092972996
TFCP2,1,3.25900615876497,3.41413553298445
TFCP2L1,1,0.665343527542702,0.367371065648529
TFDP1,1,4.40348636937478,4.67355642399015
TFDP2,1,3.11475652233253,3.05311133645956
TFE3,1,4.71623572544832,4.9126498648972
TFEB,1,4.53735150637583,4.61117238004401
TFEC,1,1.31765136443635,1.23266075679028
TFF3,0.852320675105485,0.703471809403023,0.310340120612151
TFG,1,4.78540130864726,5.20476675065461
TFIP11,1,4.43475673252556,4.57712666130705
TFP1,0.721518987341772,0.308776565943746,0.20163386116965
TFPI,1,2.46279196842357,2.37016428054021
TFPI2,0.928270042194093,0.872249031048236,0.495695162624069
TFPT,1,5.80382529732918,6.08512718021332
TFR2,1,2.24217947076921,2.15380533607904
TFRC,1,3.61636887893044,3.59215800212536
TG,1,0.864726183396811,0.687060688339892
TGDS,0.991561181434599,1.98800499519967,2.1407786557828
TGFA,1,1.49339812827312,1.31034012061215
TGFB1,1,4.68116069875203,5
TGFB1I1,1,4.04198558685876,4.37364821133469
TGFB2,1,2.79278557459206,2.72465027173297
TGFB3,1,3.38141796064681,3.40735275114004
TGFBI,1,5.55321921635974,5.67779010121666
TGFBR1,1,2.99736792932056,3.0703893278914
TGFBR2,1,2.61108314318108,2.56071495447448
TGFBR3,1,1.27256047532995,1.20789285164133
TGFBR3L,0.978902953586498,2.77564974210527,2.1407786557828
TGFBRAP1,1,2.30338135536941,2.27202318906105
TGIF1,1,4.0917584347465,4.33413917883824
TGIF2,1,2.26556822312079,2.33342373372519
TGM1,0.983122362869198,1.21106840179177,1.1243281350022
TGM2,1,3.37055349504497,3.24792751344359
TGM3,0.894514767932489,0.260242353607178,0.16349873228288
TGM4,0.721518987341772,0.0769187575913155,0.0285691521967709
TGM5,0.831223628691983,0.451719451629906,0.189033824390017
TGOLN2,1,4.22169400140397,4.39369076418745
TGS1,1,2.07643560716288,2.05311133645956
TH,0.789029535864979,0.355569157097738,0.16349873228288
THADA,1,3.10058944592865,3.18903382439002
THAP1,1,1.93012048776649,2.08065766334523
THAP10,0.9957805907173,1.68804674941012,1.78659636189081
THAP11,1,4.33327763590869,4.62877359520165
THAP2,1,2.11906868525313,2.26603689399532
THAP3,1,4.40250410932626,4.54966917072649
THAP4,1,4.86930423799348,5.18665901720211
THAP5,1,3.04606791513199,3.13257684267001
THAP6,1,1.9546075830631,1.96716860753263
THAP7,1,5.1590311148899,5.21062264439691
THAP7-AS1,1,1.86435291676593,1.9560566524124
THAP8,1,3.1453450963275,3.32768736417605
THAP9,1,1.3276826754389,1.29278174922785
THAP9-AS1,1,3.44350876372432,3.63575439127776
THBD,0.9957805907173,1.57948939167538,1.35614381022528
THBS1,1,2.24113953301214,2.03562390973072
THBS2,1,3.22099201830406,3.27649666564036
THBS3,1,4.30859596846029,4.55642941544957
THBS4,1,4.10727374971993,4.11852584893567
THEM4,1,2.67158827927237,2.95791459863299
THEM6,1,3.49952399464754,3.63459326844576
THEMIS,0.932489451476793,0.247905841386136,0.111031312388744
THEMIS2,1,3.82712061192708,3.790772037862
THG1L,1,2.15202341332498,2.31614574229336
THNSL1,1,1.49629484094306,1.56071495447448
THNSL2,0.9957805907173,2.46072339019244,2.56559717585423
THOC1,1,4.42672152685201,4.87676249078156
THOC2,1,4.12035188912867,4.26603689399532
THOC3,1,3.94110899498255,4.12763327972587
THOC5,1,3.84923517596682,3.87676249078156
THOC6,1,4.36217841609054,4.5957423394744
THOC7,1,4.84754411692982,5.29094040240368
THOP1,1,6.08077556836224,6.17392693199981
THPO,0.987341772151899,0.83669176013647,0.739848102699328
THRA,1,6.01423648999607,6.20202584460934
THRAP3,1,4.4667822933054,4.60288440871842
THRB,1,1.48609479275649,1.29278174922785
THRB-AS1,0.907172995780591,0.454298053235472,0.400537929583729
THRSP,0.79746835443038,0.165898524009291,0.0976107966264223
THSD1,0.9957805907173,2.55866798301611,2.49825086752783
THSD4,1,0.736390717956276,0.545968369105292
THSD7A,1,1.09521929947036,0.985500430304885
THSD7B,0.966244725738397,0.198535842452917,0.150559676575381
THTPA,0.9957805907173,3.75831618036013,3.98732086592925
THUMPD1,1,3.04472724004782,2.99457972421575
THUMPD2,1,2.66069074674252,2.89917563048051
THUMPD3,1,4.15544160124466,4.36806987653208
THY1,1,6.77768976646797,6.9646296667206
THYN1,1,5.22864171054307,5.71671659170597
TIA1,1,4.3314809329922,4.43295940727611
TIAF1,1,3.28531663814849,3.55458885167764
TIAL1,1,4.64994039724188,4.98322165074267
TIAM1,1,2.80947374703761,2.8073549220576
TIAM2,1,2.79358590163115,2.76128527336162
TICAM1,1,2.56781521902869,2.790772037862
TICAM2,0.953586497890295,1.12425660344718,1.15055967657538
TICRR,0.9957805907173,1.06686129764147,1.0071955014042
TIE1,1,3.26911138183658,3.32337006906127
TIFA,1,1.13446204082118,1.06350294230616
TIFAB,0.69620253164557,0.0446070208182761,0.0143552929770701
TIGD1,1,2.0887626848344,2.21723071622067
TIGD2,0.983122362869198,1.25478643570922,1.32192809488736
TIGD3,1,1.36865988527136,1.38404980679516
TIGD4,0.974683544303798,0.504065060207457,0.411426245726465
TIGD5,1,3.40380147901858,3.47118746038699
TIGD6,1,1.95172744725951,2.08406426478847
TIGD7,1,2.72302522626617,2.92219784839637
TIGIT,0.970464135021097,0.346890042755958,0.20163386116965
TIMD4,0.793248945147679,0.241006396533764,0.150559676575381
TIMELESS,1,2.79960969734897,2.81352468929781
TIMM10,1,6.1136803353809,6.67736729213605
TIMM13,1,6.27092108214787,6.51127826508303
TIMM17A,1,4.64367141920897,5.08023127201926
TIMM17B,1,5.63507846435052,5.97498811199193
TIMM21,1,4.15285987425674,4.62877359520165
TIMM22,1,2.99933462642129,3.23878685958712
TIMM23,1,5.00284405860006,5.33234990037387
TIMM23B,0.957805907172996,2.44570837528908,2.49569516262407
TIMM44,1,5.61461119695345,5.83010317592004
TIMM50,1,6.13115461302671,6.35561538275796
TIMM8A,1,2.14606279642366,2.26303440583379
TIMM8B,1,6.19228763817205,6.70942850136835
TIMM9,0.991561181434599,4.35393916254732,4.8011586560937
TIMMDC1,1,5.858281819227,6.18685706717715
TIMP1,1,8.20481281452142,8.55849724678455
TIMP2,1,6.46854586566307,6.86046625851717
TIMP3,1,4.97034183515883,5.10977842907866
TIMP4,1,3.72005929376873,3.69932952567316
TINAGL1,1,2.41438498128863,2.5385381636298
TINCR,0.9957805907173,0.88381950770221,0.739848102699328
TINF2,1,4.85678083431593,5.08065766334523
TIPARP,1,3.45648576654162,3.41006969175638
TIPARP-AS1,0.932489451476793,1.74483044206208,1.799087306074
TIPIN,1,2.44438196548127,2.51601514700366
TIPRL,1,3.25518593776399,3.41818994794577
TIRAP,1,1.6531270179822,1.7311832415722
TJAP1,1,4.11096331791458,4.31831684133498
TJP1,1,3.87159836357789,3.88752527074159
TJP2,1,3.69058732876274,3.61823865559545
TJP3,0.852320675105485,0.400653569538807,0.310340120612151
