Gene,Detection_Rate,Mean_Expression,Median_Expression
NMU,0.977611940298507,1.16408463674382,0.943167328778886
CRACD,1,2.18518791381161,2.06536537476697
LAMTOR3,1,4.04473433393842,4.02756848381329
PF4V1,0.682835820895522,0.145396803257125,0.0572769584103924
NFKB1,1,3.02593103583919,3.06014939146688
AREG,0.992537313432836,0.934084014003691,0.560567627874972
MANBA,1,2.20813689886749,2.14071322446882
UBE2D3,1,4.63802177059274,4.69023265824914
MAPK10,1,1.52780855325979,1.46980685676501
ELF2,1,2.67061542570298,2.61345383554094
NDUFC1,1,3.84904744487332,3.88922713716617
UCP1,0.873134328358209,0.088610503452059,0.0579007715989516
TBC1D9,1,2.58382797251072,2.55403020738849
ZNF330,1,3.60387169242813,3.62696426541851
INPP4B,1,0.924536980424353,0.820729068806699
GAB1,1,3.29656442220368,3.36134024650856
KLHL2,1,3.1577583264874,3.10948376865059
CPE,1,7.56678421174201,7.61264891578745
WFS1,1,3.49593878645726,3.4353683545666
ANXA10,0.76865671641791,0.0735034740823019,0.0388575431851817
GRPEL1,1,3.39873904884856,3.39494948458507
GAR1,1,2.53599264194348,2.88236879708093
FRG1,1,3.95054769306411,3.89765166863424
CLCN3,1,4.55981365468454,4.56263407244846
AADAT,1,2.11717638806779,2.10557669069769
GALNT7,1,2.0677406286531,2.06033748632914
DHX15,1,4.13494334919649,4.10212081917833
SOD3,1,2.35683970102185,2.23221812835683
SEPSECS,1,1.92049973675094,1.85939305009994
TRIM2,1,2.92905743748262,2.92863558153454
SLC2A9,1,0.87859435732418,0.851716271664104
FBXW7,1,2.14692572327856,2.06515835219639
NEIL3,1,1.49478870244062,1.44275151022957
TBC1D19,1,1.95087048111829,1.82213465231566
NSD2,1,2.83454592203954,2.85112936135378
SH3D19,1,2.41396185434483,2.43778697294741
STIM2,1,2.80137188031596,2.75853759312304
NKX3-2,0.985074626865672,0.595716070540072,0.437387547100347
MFSD10,1,4.35521611830235,4.40657068277954
GLRB,1,2.71773315175274,2.75723319056573
BST1,1,1.37823520944248,1.28326971888746
RAPGEF2,1,2.65025373508918,2.61348450216908
HGFAC,1,0.986705101101824,0.814712710064208
SNX25,1,2.20350516185455,2.10247208075288
LRP2BP,1,1.11066404554056,0.991317749599377
UFSP2,1,3.43148036787043,3.48795875592668
KLF3,1,3.45995781671356,3.47983907406668
KLHL5,1,3.68914329848694,3.70666509657369
FAM149A,1,1.98915369352077,1.96746090540818
NCAPG,1,2.1711918003916,2.18618281695103
UGDH,1,3.14683379059681,3.07558929436359
